iter	Passed	Remaining
400	16309	24362
401	16375	24359
402	16419	24323
403	16457	24279
404	16495	24233
405	16532	24187
406	16564	24135
407	16603	24090
408	16642	24048
409	16684	24009
410	16719	23960
411	16759	23919
412	16799	23877
413	16842	23840
414	16885	23802
415	16919	23752
416	16955	23705
417	16989	23655
418	17026	23609
419	17062	23562
420	17104	23523
421	17154	23496
422	17195	23456
423	17228	23404
424	17264	23358
425	17306	23319
426	17350	23283
427	17388	23238
428	17430	23200
429	17475	23165
430	17520	23130
431	17564	23094
432	17606	23054
433	17641	23007
434	17677	22960
435	17709	22908
436	17753	22872
437	17799	22839
438	17838	22795
439	17872	22746
440	17909	22701
441	17945	22654
442	17985	22614
443	18038	22588
444	18084	22554
445	18122	22511
446	18161	22468
447	18194	22417
448	18238	22382
449	18285	22348
450	18326	22308
451	18364	22264
452	18408	22227
453	18454	22194
454	18496	22155
455	18535	22112
456	18584	22081
457	18627	22044
458	18674	22010
459	18718	21973
460	18760	21934
461	18794	21886
462	18826	21836
463	18867	21795
464	18909	21756
465	18950	21715
466	18990	21673
467	19026	21628
468	19060	21579
469	19100	21538
470	19150	21509
471	19196	21474
472	19234	21429
473	19272	21386
474	19312	21345
475	19351	21302
476	19397	21268
477	19436	21225
478	19475	21182
479	19511	21137
480	19551	21095
481	19597	21061
482	19636	21018
483	19677	20978
484	19722	20942
485	19773	20912
486	19819	20877
487	19859	20836
488	19896	20791
489	19932	20745
490	19968	20700
491	20006	20657
492	20048	20617
493	20085	20573
494	20129	20535
495	20164	20489
496	20204	20448
497	20244	20406
498	20286	20368
499	20322	20322
500	20358	20277
501	20393	20231
502	20428	20184
503	20470	20145
504	20513	20107
505	20549	20062
506	20593	20024
507	20633	19983
508	20671	19940
509	20712	19900
510	20758	19864
511	20801	19826
512	20846	19790
513	20889	19751
514	20936	19716
515	20979	19678
516	21018	19635
517	21055	19591
518	21102	19557
519	21149	19522
520	21197	19488
521	21234	19444
522	21268	19398
523	21302	19350
524	21337	19304
525	21377	19264
526	21419	19224
527	21456	19180
528	21490	19133
529	21530	19092
530	21567	19049
531	21605	19006
532	21652	18971
533	21692	18929
534	21729	18886
535	21767	18843
536	21808	18802
537	21852	18765
538	21896	18727
539	21937	18687
540	21981	18649
541	22030	18616
542	22081	18584
543	22122	18544
544	22163	18503
545	22202	18461
546	22243	18420
547	22297	18391
548	22338	18350
549	22373	18305
550	22412	18263
551	22450	18220
552	22493	18181
553	22537	18143
554	22574	18100
555	22608	18054
556	22643	18009
557	22681	17966
558	22725	17928
559	22766	17888
560	22809	17849
561	22848	17807
562	22887	17765
563	22928	17724
564	22973	17687
565	23015	17648
566	23067	17615
567	23107	17574
568	23150	17535
569	23186	17491
570	23235	17456
571	23279	17419
572	23313	17373
573	23347	17327
574	23383	17283
575	23434	17250
576	23484	17216
577	23518	17170
578	23550	17123
579	23590	17082
580	23630	17041
581	23672	17001
582	23718	16965
583	23759	16924
584	23794	16879
585	23827	16833
586	23865	16791
587	23908	16752
588	23954	16715
589	23992	16672
590	24031	16630
591	24080	16595
592	24122	16556
593	24170	16520
594	24226	16490
595	24273	16453
596	24313	16412
597	24355	16372
598	24407	16339
599	24445	16297
600	24480	16252
601	24519	16210
602	24559	16169
603	24604	16131
604	24653	16096
605	24692	16054
606	24734	16014
607	24772	15971
608	24807	15927
609	24859	15893
610	24900	15853
611	24938	15810
612	24974	15767
613	25011	15723
614	25053	15684
615	25094	15643
616	25143	15607
617	25182	15565
618	25221	15524
619	25258	15481
620	25297	15439
621	25357	15410
622	25417	15380
623	25458	15340
624	25498	15298
625	25541	15259
626	25585	15220
627	25626	15180
628	25661	15135
629	25699	15093
630	25735	15049
631	25785	15014
632	25822	14971
633	25860	14928
634	25898	14886
635	25933	14842
636	25974	14801
637	26030	14769
638	26067	14726
639	26105	14684
640	26143	14641
641	26178	14598
642	26216	14555
643	26255	14513
644	26302	14476
645	26336	14432
646	26375	14390
647	26416	14349
648	26459	14310
649	26521	14281
650	26566	14242
651	26602	14198
652	26641	14157
653	26680	14115
654	26716	14072
655	26764	14035
656	26801	13992
657	26845	13953
658	26879	13908
659	26917	13866
660	26963	13828
661	27013	13792
662	27050	13749
663	27086	13706
664	27120	13662
665	27159	13620
666	27208	13583
667	27247	13541
668	27290	13502
669	27328	13460
670	27369	13419
671	27417	13382
672	27457	13341
673	27494	13298
674	27535	13258
675	27581	13219
676	27640	13187
677	27686	13148
678	27725	13107
679	27766	13066
680	27804	13024
681	27850	12986
682	27889	12944
683	27926	12901
684	27964	12859
685	28007	12819
686	28053	12781
687	28105	12745
688	28148	12705
689	28185	12663
690	28221	12620
691	28261	12578
692	28307	12540
693	28346	12498
694	28385	12456
695	28426	12416
696	28474	12378
697	28525	12342
698	28566	12300
699	28602	12258
700	28640	12216
701	28683	12176
702	28739	12141
703	28798	12108
704	28833	12065
705	28874	12024
706	28911	11981
707	28947	11938
708	29007	11905
709	29049	11865
710	29089	11824
711	29127	11781
712	29167	11740
713	29201	11697
714	29245	11657
715	29285	11616
716	29325	11574
717	29363	11532
718	29400	11490
719	29438	11448
720	29476	11406
721	29526	11368
722	29562	11326
723	29595	11282
724	29631	11239
725	29669	11197
726	29711	11156
727	29761	11119
728	29806	11080
729	29854	11042
730	29898	11002
731	29956	10967
732	30010	10931
733	30047	10889
734	30087	10848
735	30125	10805
736	30164	10764
737	30206	10723
738	30247	10682
739	30289	10642
740	30329	10600
741	30367	10559
742	30403	10516
743	30441	10474
744	30489	10435
745	30529	10394
746	30565	10352
747	30608	10311
748	30647	10270
749	30702	10234
750	30760	10198
751	30803	10158
752	30851	10119
753	30898	10081
754	30972	10050
755	31034	10016
756	31084	9978
757	31121	9935
758	31170	9897
759	31237	9864
760	31294	9828
761	31337	9787
762	31374	9745
763	31410	9702
764	31453	9662
765	31503	9623
766	31550	9584
767	31594	9544
768	31643	9505
769	31693	9467
770	31744	9428
771	31787	9387
772	31823	9345
773	31861	9303
774	31900	9261
775	31960	9225
776	32010	9186
777	32049	9145
778	32097	9106
779	32155	9069
780	32209	9031
781	32247	8989
782	32292	8949
783	32335	8908
784	32384	8869
785	32428	8829
786	32469	8787
787	32509	8746
788	32545	8703
789	32585	8662
790	32630	8621
791	32678	8582
792	32714	8539
793	32752	8497
794	32787	8454
795	32823	8412
796	32861	8370
797	32908	8330
798	32956	8290
799	32998	8249
800	33031	8206
801	33066	8163
802	33109	8122
803	33158	8083
804	33204	8043
805	33259	8005
806	33322	7969
807	33371	7929
808	33420	7890
809	33470	7851
810	33512	7810
811	33561	7770
812	33611	7731
813	33654	7690
814	33699	7649
815	33744	7609
816	33787	7568
817	33834	7527
