iter	RMSE
216	307.0398807
217	307.0001933
218	306.9575932
219	306.8735776
220	306.8397195
221	306.8034581
222	306.7631891
223	306.7297863
224	306.6833805
225	306.6465022
226	306.5850507
227	306.5414617
228	306.4973911
229	306.4653618
230	306.4173421
231	306.3738307
232	306.3302742
233	306.2887976
234	306.2369412
235	306.1920146
236	306.1638852
237	306.1271126
238	306.0919151
239	306.0623275
240	306.0235881
241	305.9493581
242	305.9011631
243	305.8301391
244	305.790832
245	305.7474707
246	305.7175607
247	305.6613469
248	305.6033598
249	305.5103416
250	305.4650983
251	305.4151291
252	305.3713333
253	305.3325755
254	305.291245
255	305.2555649
256	305.2134055
257	305.1272749
258	305.0833218
259	305.0348408
260	304.9951126
261	304.9468334
262	304.898568
263	304.8620422
264	304.816915
265	304.7449438
266	304.7065449
267	304.6699766
268	304.6293117
269	304.58949
270	304.543403
271	304.5042708
272	304.4747615
273	304.4370231
274	304.3169703
275	304.2627605
276	304.210604
277	304.1801767
278	304.1292681
279	304.0546413
280	304.0166043
281	303.9886119
282	303.9449788
283	303.894434
284	303.8505009
285	303.7942015
286	303.752363
287	303.7027736
288	303.6756566
289	303.6423119
290	303.6057208
291	303.5787421
292	303.4972032
293	303.433781
294	303.3911892
295	303.3491468
296	303.3201829
297	303.2891819
298	303.2441819
299	303.2102111
300	303.174997
301	303.1360959
302	303.086085
303	303.0538808
304	303.0122107
305	302.9651194
306	302.9195549
307	302.8885394
308	302.8557638
309	302.8108893
310	302.7657299
311	302.7198294
312	302.6911696
313	302.651371
314	302.6182475
315	302.5816598
316	302.5389202
317	302.5143253
318	302.4567164
319	302.4199735
320	302.3653476
321	302.3244058
322	302.2643209
323	302.2097511
324	302.170463
325	302.1344781
326	302.1037464
327	302.0560918
328	302.0137423
329	301.9687126
330	301.9284318
331	301.8903637
332	301.8542059
333	301.8195574
334	301.787865
335	301.7537371
336	301.7169767
337	301.6823259
338	301.6499288
339	301.6208339
340	301.5761874
341	301.5405234
342	301.5025472
343	301.4714528
344	301.4259557
345	301.3754181
346	301.3330251
347	301.3031805
348	301.2546135
349	301.2175688
350	301.1767721
351	301.1420471
352	301.0959635
353	301.0520268
354	301.0222357
355	300.9907608
356	300.9564765
357	300.932117
358	300.8969851
359	300.8575932
360	300.8235312
361	300.7824138
362	300.7014731
363	300.6443446
364	300.5677562
365	300.5277659
366	300.4835161
367	300.450672
368	300.4009901
369	300.3648561
370	300.3215871
371	300.28711
372	300.258156
373	300.2272562
374	300.1895353
375	300.1314721
376	300.0932284
377	300.0358623
378	299.976086
379	299.943291
380	299.9115056
381	299.8695308
382	299.8331727
383	299.796403
384	299.757246
385	299.7128048
386	299.6843245
387	299.6580907
388	299.6267479
389	299.596421
390	299.5681134
391	299.5394055
392	299.5017775
393	299.4226185
394	299.3615296
395	299.3160969
396	299.2851558
397	299.2487825
398	299.2061334
399	299.1672332
400	299.1313503
401	299.0956398
402	299.0453138
403	299.0203369
404	298.980052
405	298.9358568
406	298.9068291
407	298.8555493
408	298.8068151
409	298.7716601
410	298.7394651
411	298.6994109
412	298.6639644
413	298.6301293
414	298.6069916
415	298.5615712
416	298.5280544
417	298.4878984
418	298.4587083
419	298.4269567
420	298.3853911
421	298.3557747
422	298.3213646
423	298.2894721
424	298.2511322
425	298.226118
426	298.1962248
427	298.153034
428	298.1068115
429	298.0797717
430	298.0394579
431	298.01354
432	297.986871
433	297.9500952
434	297.9184445
435	297.8804771
436	297.8509249
437	297.8122257
438	297.7802902
439	297.7376057
440	297.7042188
441	297.679841
442	297.6416257
443	297.5997814
444	297.5572381
445	297.5138806
446	297.4791049
447	297.4386507
448	297.4125501
449	297.3782299
450	297.3496251
451	297.3164339
452	297.2810666
453	297.2440747
454	297.2138937
455	297.1882036
456	297.1561468
457	297.1087515
458	297.0567378
459	297.0314281
460	296.9988761
461	296.973789
462	296.9462103
463	296.9117675
464	296.8792494
465	296.8478879
466	296.8185847
467	296.7785069
468	296.7355513
469	296.7028978
470	296.671103
471	296.6335543
472	296.5670379
473	296.5261862
474	296.5034726
475	296.4669507
476	296.4281514
477	296.3823208
478	296.3557622
479	296.315308
480	296.2802081
481	296.2604926
482	296.2266924
483	296.1932431
484	296.1588889
485	296.0961429
486	296.0634386
487	296.0270233
488	295.959052
489	295.9265757
490	295.89157
491	295.8600962
492	295.8329518
493	295.7962717
494	295.7538279
495	295.6955411
496	295.6612518
497	295.6236826
498	295.5903486
499	295.5604798
500	295.5179564
501	295.4741615
502	295.4407549
503	295.4069405
504	295.3676771
505	295.342528
506	295.2804274
507	295.2502555
508	295.2050563
509	295.1553308
510	295.1251361
511	295.0924954
512	295.0774765
513	295.0440204
514	295.0183212
515	294.9875854
516	294.9566099
517	294.9235096
518	294.8923971
519	294.8525923
520	294.823724
521	294.7867424
522	294.7542452
523	294.7246503
524	294.682331
525	294.6591668
526	294.6291682
527	294.5898129
528	294.5433334
529	294.5066277
530	294.4682707
531	294.4406663
532	294.4054804
533	294.3697445
534	294.3393406
535	294.3036891
536	294.2657613
537	294.2287597
538	294.1795113
539	294.1466704
540	294.1190416
541	294.0923633
542	294.0670438
543	294.0398811
544	293.9995199
545	293.9674694
546	293.9401525
547	293.9137141
548	293.8811201
549	293.845907
550	293.8158951
551	293.7820083
552	293.7464311
553	293.7196584
554	293.6563926
555	293.6306045
556	293.5851099
557	293.5507579
558	293.50476
559	293.4695724
560	293.4219393
561	293.3778748
562	293.344749
563	293.3038245
564	293.2623546
565	293.2321236
566	293.1957702
567	293.1693452
568	293.1347612
569	293.1039398
570	293.0646894
571	293.0344137
572	293.0061082
573	292.9715211
574	292.9295161
575	292.8975378
576	292.8496941
577	292.820549
578	292.744824
579	292.7068482
580	292.67888
581	292.6426397
582	292.6138393
583	292.5806152
584	292.542224
585	292.5156164
586	292.4908996
587	292.4510604
588	292.423286
589	292.3935904
590	292.3671326
591	292.3447265
592	292.3170293
593	292.2874451
594	292.2496147
595	292.2207449
596	292.1909143
597	292.1527748
598	292.1220425
599	292.0861626
600	292.047782
601	292.0188807
602	291.9858145
603	291.9557281
604	291.9281339
605	291.8844404
606	291.8599033
607	291.8291197
608	291.7951909
609	291.7616873
610	291.7281887
611	291.6886638
612	291.6573877
613	291.6358713
614	291.6090387
615	291.5754515
616	291.5389374
617	291.504075
618	291.4738112
619	291.4310022
620	291.3911557
621	291.355033
622	291.3228865
623	291.2867851
624	291.2589139
625	291.224455
626	291.1783323
627	291.1520732
628	291.1121043
629	291.0888631
630	291.0623239
631	291.0320362
632	290.9968548
633	290.9623407
634	290.9380651
635	290.907862
636	290.8745917
637	290.8372383
638	290.8123222
639	290.7806904
640	290.7398601
641	290.708308
642	290.67074
643	290.624491
644	290.5992668
645	290.5582055
646	290.5330221
647	290.5059329
648	290.481684
649	290.4454706
650	290.4182156
651	290.3846189
652	290.3418926
653	290.2924624
654	290.2425504
655	290.2056312
656	290.1801855
657	290.1513777
658	290.1261955
659	290.1053505
660	290.0637262
661	290.035633
662	289.9958187
663	289.9553355
664	289.9136247
665	289.8872168
666	289.8461373
667	289.8106166
668	289.7835881
669	289.7489068
670	289.7155569
671	289.6810434
672	289.6447567
673	289.6178192
674	289.5959095
675	289.5691843
676	289.5326072
677	289.4980312
678	289.4645711
679	289.4300482
680	289.3949542
681	289.3534756
682	289.3249553
683	289.3003489
684	289.2600592
685	289.2307559
686	289.2094788
687	289.178041
688	289.151577
689	289.1043959
690	289.0536226
691	288.9897591
692	288.9595948
693	288.9408034
694	288.9073871
695	288.8771927
696	288.844777
697	288.8107594
698	288.774412
699	288.7393229
700	288.706782
701	288.6841333
702	288.6505652
703	288.6060227
704	288.5744012
705	288.5252577
706	288.491867
707	288.4639481
708	288.4297578
709	288.3943456
710	288.3674913
711	288.333672
712	288.3048657
713	288.2730421
714	288.246786
715	288.2192077
716	288.1884752
717	288.1494246
718	288.116048
719	288.0900251
720	288.0576787
721	288.0186639
722	287.9987358
723	287.9703824
724	287.9373367
725	287.9000158
726	287.8418893
727	287.8066865
728	287.7767119
729	287.7488923
730	287.726292
731	287.706933
732	287.6730035
733	287.6372506
734	287.5539853
735	287.5238994
736	287.4889281
737	287.4568517
738	287.4229374
739	287.3863993
740	287.35251
741	287.3293659
742	287.2965862
743	287.2234578
744	287.1892327
745	287.167743
746	287.1272235
747	287.0900173
748	287.0616067
749	287.0395481
750	287.010354
751	286.9797835
752	286.9542754
753	286.9193091
754	286.8940372
755	286.8622633
756	286.8359719
757	286.8087806
758	286.7802964
759	286.7498707
760	286.7172528
761	286.6861491
762	286.6614344
763	286.6257687
764	286.5963173
765	286.5802739
766	286.5569984
767	286.5161767
768	286.478721
769	286.4548324
770	286.4316726
771	286.3964481
772	286.3691829
773	286.3500376
774	286.3262193
775	286.3023449
776	286.2758165
777	286.2459978
778	286.2162127
779	286.1938051
780	286.1660304
781	286.1235462
782	286.0923038
783	286.0627044
784	286.0377263
785	285.9770982
786	285.9413483
787	285.9030767
788	285.8688065
789	285.8281849
790	285.7968694
791	285.7748552
792	285.7519803
793	285.7248784
794	285.6907406
795	285.6569482
796	285.6327259
797	285.6070083
798	285.5770899
799	285.5451047
800	285.5102929
801	285.4887314
802	285.4586701
803	285.4296459
804	285.395745
805	285.3659668
806	285.3386363
807	285.3126453
808	285.284287
809	285.2540031
810	285.2163992
811	285.181063
812	285.1488777
813	285.1244651
814	285.1039966
815	285.0806883
816	284.985336
817	284.9529228
818	284.9172089
819	284.8894335
820	284.8631686
821	284.833025
822	284.7998872
823	284.7750145
824	284.7489196
825	284.7145852
826	284.6890716
827	284.6592225
828	284.6345816
829	284.6088343
830	284.5749698
831	284.5277505
832	284.5002205
833	284.4715043
834	284.4458374
835	284.4099874
836	284.374194
837	284.3360209
838	284.3027069
839	284.2687164
840	284.2349074
841	284.2034662
842	284.1764062
843	284.14766
844	284.1181318
845	284.0980666
846	284.0788782
847	284.0449263
848	284.0099306
849	283.9872652
850	283.9617507
851	283.9353729
852	283.9022171
853	283.8717838
854	283.8494868
855	283.8240737
856	283.7869012
857	283.7593967
858	283.7056845
859	283.6747898
860	283.6404983
861	283.604906
862	283.5714889
863	283.5410588
864	283.4948661
865	283.468256
866	283.4463611
867	283.4102022
868	283.3805833
869	283.3468472
870	283.3178842
871	283.2893728
872	283.2586369
873	283.2274441
874	283.1336502
875	283.1070787
876	283.0783829
877	283.0463939
878	283.0169764
879	282.994064
880	282.9635766
881	282.9301293
882	282.8991681
883	282.8690586
884	282.8382521
885	282.8110217
886	282.7633923
887	282.7330575
888	282.7123166
889	282.6867591
890	282.6600432
891	282.6348582
892	282.5926564
893	282.5737374
894	282.5497234
895	282.5288207
896	282.5126955
897	282.4896342
898	282.4656729
899	282.4337022
900	282.4086159
901	282.3887186
902	282.3670482
903	282.3430724
904	282.3136985
905	282.2924445
906	282.2625867
907	282.2341534
908	282.1968175
909	282.1737585
910	282.1414034
911	282.1117071
912	282.0789517
913	282.0429984
914	282.0198159
915	281.989717
916	281.971204
917	281.9329953
918	281.8982124
919	281.8511427
920	281.8132531
921	281.782316
922	281.7584983
923	281.7284538
924	281.6897563
925	281.6537312
926	281.6297819
927	281.5922319
928	281.5607309
929	281.5251724
930	281.4953185
931	281.4720499
932	281.4456876
933	281.4132641
934	281.3898291
935	281.3599717
936	281.3215796
937	281.2905925
938	281.2569428
939	281.2320289
940	281.1972664
941	281.1663363
942	281.1415077
943	281.111722
944	281.0868711
945	281.0645218
946	281.0248827
947	280.9884252
948	280.9620338
949	280.9359641
950	280.8999945
951	280.8825723
952	280.8596357
953	280.8312642
954	280.794452
955	280.7668342
956	280.7299557
957	280.7024279
958	280.6721208
959	280.6472405
960	280.6126113
961	280.5745227
962	280.5409621
963	280.5072394
964	280.4713533
965	280.4485694
966	280.4228456
967	280.3860151
968	280.3592434
969	280.3285672
970	280.2978182
971	280.2713178
972	280.2473525
973	280.2285211
974	280.195721
975	280.1581091
976	280.1257106
977	280.1056024
978	280.0715312
979	280.0400349
980	280.0032156
981	279.9777406
982	279.9517177
983	279.9232812
984	279.8919329
985	279.859154
986	279.8235119
987	279.7924591
988	279.7666745
989	279.7357937
990	279.7058011
991	279.6815504
992	279.6595009
993	279.6269598
994	279.5974191
995	279.5802758
996	279.5570339
997	279.5324783
998	279.5072833
999	279.4880142
